Jar.number,Nutrient ,Temp,Protist,Spec,Respiration,Blepharisma.sp,Colpidium.sp,Glaucoma.sp,Paramecium.bursaria ,Tillina.magna,Colpoda.steinii ,Strombidium.sp,Halteria.grandinella ,Paramecium.aurelia,Cyclidium.glaucoma ,Tetrahymena.pyriformis ,treatment 
61,Full,22,Yes,0.037,0.000358095,61,5,0,1,0,5,1,0,0,0,0,full.22
62,Full,22,Yes,0.002,6.79E-05,21,0,0,1,0,0,0,0,0,0,0,full.22
63,Full,22,Yes,0.054,0.000661641,110,4,0,5,1,4,1,1,0,0,0,full.22
64,Full,22,Yes,0.073,0.001319612,49,574,2,103,0,138,0,0,7,0,0,full.22
65,Full,22,Yes,0.022,0.0008912,87,2,0,1,0,3,0,0,0,0,0,full.22
66,Full,22,Yes,0.017,0.000481704,99,1,0,2,0,0,0,0,0,0,0,full.22
67,Full,22,Yes,0.005,0.000935397,72,0,0,1,0,1,0,0,0,0,0,full.22
68,Full,22,Yes,0.039,0.000363846,101,1,0,2,0,19,0,0,0,0,0,full.22
69,Full,22,Yes,0.079,0.000448098,69,1,0,2,0,4,0,0,0,0,0,full.22
70,Full,22,Yes,0.014,0.000829294,80,1,0,0,0,10,0,0,0,0,0,full.22
71,Full,22,Yes,0.014,0.001117424,106,1,0,2,0,6,0,0,0,0,0,full.22
72,Full,22,Yes,0.081,0.000390114,132,0,0,2,0,3,0,0,0,0,0,full.22
73,Full,22,Yes,0.005,0.000788214,67,2,0,2,0,2,0,0,0,0,0,full.22
74,Full,22,Yes,0.077,0.000690407,47,46,0,0,0,0,1,0,0,0,0,full.22
75,Full,22,Yes,0.054,0.000568492,72,0,0,0,0,1,0,0,0,0,0,full.22
76,Full,22,Yes,0.048,0.000343429,42,1,0,2,0,1,0,0,0,0,0,full.22
77,Full,22,Yes,0.002,0.000369711,90,1,0,4,0,0,0,0,0,0,0,full.22
78,Full,22,Yes,0.057,0.000675541,81,0,0,0,0,4,0,0,0,0,0,full.22
79,Full,22,Yes,0.03,0.000426968,82,1,0,0,0,0,0,0,0,0,0,full.22
80,Full,22,Yes,0,0.000342969,32,1,0,0,0,0,0,0,0,0,0,full.22
81,Full,22,No,0.026,0.000214424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,full.22
82,Full,22,No,0.019,0.000420067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,full.22
83,Full,22,No,0.035,0.000942134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,full.22
84,Full,22,No,0.007,0.000211373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,full.22
85,Full,22,No,0.019,0.000348312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,full.22
86,Full,22,No,0.001,0.000428363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,full.22
87,Full,22,No,0.002,0.000450123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,full.22
88,Full,22,No,0.008,0.000381249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,full.22
89,Full,22,No,0.002,0.000196769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,full.22
90,Full,22,No,0.006,0.000151165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,full.22
91,Full,25,Yes,0.03,9.01E-05,75,6,0,6,1,0,0,0,0,0,0,full.25
92,Full,25,Yes,0.005,0.000944039,35,0,0,2,0,0,0,0,0,0,0,full.25
93,Full,25,Yes,0.012,0.000331659,125,6,0,4,0,2,0,0,0,0,0,full.25
94,Full,25,Yes,0.004,0.001957856,39,51,2,16,0,1,0,0,4,0,0,full.25
95,Full,25,Yes,0.009,0.000347309,65,1,0,0,0,0,0,0,0,0,0,full.25
96,Full,25,Yes,0.014,0.000544825,126,3,0,0,0,1,0,0,0,0,0,full.25
97,Full,25,Yes,0,0.001128836,71,1,0,7,0,2,0,0,0,0,0,full.25
98,Full,25,Yes,0.004,0.000249369,13,11,0,0,0,1,1,0,0,0,0,full.25
99,Full,25,Yes,0.017,0.000426204,118,0,0,1,0,4,0,0,0,0,0,full.25
100,Full,25,Yes,0.002,0.000585576,73,5,0,0,0,5,0,0,0,0,0,full.25
101,Full,25,Yes,0.003,0.000681939,16,1,0,6,0,0,0,1,0,0,0,full.25
102,Full,25,Yes,0.01,0.000419339,59,0,0,2,0,0,0,0,0,0,0,full.25
103,Full,25,Yes,0.003,0.000660567,17,6,0,3,0,0,0,0,2,0,0,full.25
104,Full,25,Yes,0.001,0.000675445,95,1,0,1,0,5,0,0,0,0,0,full.25
105,Full,25,Yes,0.006,0.000471223,29,0,0,0,0,0,0,0,4,0,0,full.25
106,Full,25,Yes,0.003,0.000249475,34,1,0,2,0,0,0,0,3,0,0,full.25
107,Full,25,Yes,0.008,0.000340509,73,0,0,8,0,4,0,0,0,0,0,full.25
108,Full,25,Yes,0.002,0.000287109,12,1,0,0,0,0,0,0,0,0,0,full.25
109,Full,25,Yes,0.003,0.00028046,50,0,0,6,0,0,0,0,0,0,0,full.25
110,Full,25,Yes,0.011,0.000701001,19,9,0,4,0,4,0,0,3,0,0,full.25
111,Full,25,No,0.038,0.000658128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,full.25
112,Full,25,No,0.005,0.000516592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,full.25
113,Full,25,No,0.006,0.000763144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,full.25
114,Full,25,No,0.006,0.00048961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,full.25
115,Full,25,No,0.005,0.000503246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,full.25
116,Full,25,No,0.012,0.001423159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,full.25
117,Full,25,No,0.003,0.000338986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,full.25
118,Full,25,No,0.024,0.000480004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,full.25
119,Full,25,No,0.018,0.000646922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,full.25
120,Full,25,No,0.009,0.000745409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,full.25
